,nro_invoice,dt_vencimento,dt_pagamento,valor_invoice,dolar_vencimento,dolar_provisao,dolar_pagamento,valor_pago,saving provisao,saving vencimento,total vencimento,total provisao
59,188995,2018-2-23,2018-2-23,26470.59,3.2487,3.1848,3.254,86135.29986,-1831.764828,-140.294127,16463.031057,18662.402336
60,92509826,2018-2-28,2018-2-21,11524.77,3.2485,3.25,3.25,37455.5025,0.0,-17.287155,16445.743902,18662.402336
61,92512015,2018-2-28,2018-2-21,1765.98,3.2485,3.25,3.25,5739.435,0.0,-2.64897,16443.094932,18662.402336
62,20180234730,2018-3-9,2018-3-9,20377.36,3.2661,3.2692,3.26,66430.1936,187.471712,124.301896,16567.396828,18849.874048
63,6000001672,2018-2-20,2018-2-20,7560.0,3.2331,3.206,3.258,24630.48,-393.12,-188.244,16379.152828,18456.754048
64,60063909,2018-3-2,2018-3-2,21000.0,3.25,0.01,3.263,68523.0,-68313.0,-273.0,16106.152828,-49856.245952
65,92509824,2018-2-28,2018-2-22,19595.05,3.2485,3.25,3.25,63683.9125,0.0,-29.392575,16076.760253,-49856.245952
66,100210071252,2018-3-3,2018-3-5,5303.86,3.25,3.1624,3.266,17322.40676,-549.479896,-84.86176,15991.898493,-50405.725848
67,k41258,2018-2-28,2018-2-23,76170.57,3.2485,3.3165,3.254,247859.03478,4760.660625,-418.938135,15572.960358,-45645.065223
68,6000001768,2018-3-23,2018-3-23,7560.0,3.3141,3.262,3.3095,25019.82,-359.1,34.776,15607.736358,-46004.165223
69,100210076208,2018-3-31,2018-3-19,3551.85,3.3035,3.2449,3.3098,11755.91313,-230.515065,-22.376655,15585.359703,-46234.680288
70,8238; 8239; 8240; 8241; 8244 e 8245,2018-3-16,2018-3-16,345013.31,3.2821,3.1848,3.2892,1134817.77925,-36019.389564,-2449.594501,13135.765202,-82254.069852
71,K41261,2018-2-28,2018-2-23,118884.11,3.2485,3.3165,3.254,386848.89394,7430.256875,-653.862605,12481.902597,-74823.812977
